kawalcovid_provinsi,time,harian,lat_pulau_terbesar,lon_pulau_terbesar
Bali,5/31/2020,10,-8.355988108,115.1164467
Bali,6/1/2020,17,-8.355988108,115.1164467
Bali,6/2/2020,5,-8.355988108,115.1164467
Bali,6/3/2020,3,-8.355988108,115.1164467
Bali,6/4/2020,20,-8.355988108,115.1164467
Bali,6/5/2020,14,-8.355988108,115.1164467
Bali,6/6/2020,33,-8.355988108,115.1164467
Bali,6/7/2020,25,-8.355988108,115.1164467
Bali,6/8/2020,12,-8.355988108,115.1164467
Bali,6/9/2020,14,-8.355988108,115.1164467
Bali,6/10/2020,32,-8.355988108,115.1164467
Bali,6/11/2020,19,-8.355988108,115.1164467
Bali,6/12/2020,36,-8.355988108,115.1164467
Bali,6/13/2020,28,-8.355988108,115.1164467
Bali,6/14/2020,18,-8.355988108,115.1164467
Bali,6/15/2020,19,-8.355988108,115.1164467
Bali,6/16/2020,22,-8.355988108,115.1164467
Bali,6/17/2020,47,-8.355988108,115.1164467
Bali,6/18/2020,66,-8.355988108,115.1164467
Bali,6/19/2020,81,-8.355988108,115.1164467
Bali,6/20/2020,37,-8.355988108,115.1164467
Bali,6/21/2020,37,-8.355988108,115.1164467
Bali,6/22/2020,30,-8.355988108,115.1164467
Bali,6/23/2020,36,-8.355988108,115.1164467
Bali,6/24/2020,42,-8.355988108,115.1164467
Bali,6/25/2020,56,-8.355988108,115.1164467
Bali,6/26/2020,49,-8.355988108,115.1164467
Bali,6/27/2020,106,-8.355988108,115.1164467
Bali,6/28/2020,45,-8.355988108,115.1164467
Bali,6/29/2020,30,-8.355988108,115.1164467
Bali,6/30/2020,49,-8.355988108,115.1164467
Bali,7/1/2020,34,-8.355988108,115.1164467
Bali,7/2/2020,113,-8.355988108,115.1164467
Bali,7/3/2020,66,-8.355988108,115.1164467
Bali,7/4/2020,91,-8.355988108,115.1164467
Bali,7/5/2020,52,-8.355988108,115.1164467
Bali,7/6/2020,51,-8.355988108,115.1164467
Bali,7/7/2020,40,-8.355988108,115.1164467
Bali,7/8/2020,31,-8.355988108,115.1164467
Bali,7/9/2020,53,-8.355988108,115.1164467
Bali,7/10/2020,86,-8.355988108,115.1164467
Bali,7/11/2020,37,-8.355988108,115.1164467
Bali,7/12/2020,48,-8.355988108,115.1164467
Bali,7/13/2020,62,-8.355988108,115.1164467
Bali,7/14/2020,101,-8.355988108,115.1164467
Bali,7/15/2020,63,-8.355988108,115.1164467
Bali,7/16/2020,112,-8.355988108,115.1164467
Bali,7/17/2020,86,-8.355988108,115.1164467
Bali,7/18/2020,71,-8.355988108,115.1164467
Bali,7/19/2020,55,-8.355988108,115.1164467
Bali,7/20/2020,36,-8.355988108,115.1164467
Bali,7/21/2020,75,-8.355988108,115.1164467
Bali,7/22/2020,78,-8.355988108,115.1164467
Bali,7/23/2020,62,-8.355988108,115.1164467
Bali,7/24/2020,62,-8.355988108,115.1164467
Bali,7/25/2020,56,-8.355988108,115.1164467
